,price_of_ride,distance_normalized_price,trip_duration,rider_acceptance_prob,driver_acceptance_prob
0,10.4766,6.079,3,0.5706,0.4198
1,13.626900000000001,5.2467,5,0.6108,0.48150000000000004
2,35.791,3.8887,18,0.6731,0.5826
3,13.8997,5.0598,5,0.6196,0.4955
4,31.8904,4.0277,16,0.667,0.5724
5,30.0919,4.0896,15,0.6642,0.5679000000000001
6,27.233,4.0986,13,0.6638000000000001,0.5672
7,16.8974,4.7773,7,0.6329,0.5167
8,18.1931,4.7621,8,0.6336,0.5178
9,11.4679,6.2342,4,0.5630000000000001,0.40850000000000003
10,31.9237,4.0226,16,0.6672,0.5728
11,22.1077,4.3229,10,0.6537000000000001,0.5506
12,13.1615,5.621,5,0.5929,0.4536
13,38.6876,3.8928000000000003,20,0.6729,0.5823
14,24.8685,4.3071,12,0.6544,0.5518000000000001
15,18.4283,4.6658,8,0.638,0.525
16,27.2693,4.0917,13,0.6641,0.5677
17,23.5639,4.2955,11,0.655,0.5526
18,11.473700000000001,6.2266,4,0.5633,0.40900000000000003
19,34.1728,3.9085,17,0.6722,0.5811000000000001
20,30.0257,4.1009,15,0.6637000000000001,0.5670000000000001
21,23.5068,4.3098,11,0.6543,0.5516
22,21.4809,4.5036,10,0.6455000000000001,0.5372
23,23.3359,4.3534,11,0.6523,0.5483
24,17.1369,4.6712,7,0.6378,0.5246000000000001
25,13.1084,5.669,5,0.5905,0.45
26,26.7212,4.1993,13,0.6593,0.5598000000000001
27,16.8106,4.8177,7,0.631,0.5137
28,35.1151,3.9757000000000002,18,0.6693,0.5762
29,37.413,3.8704,19,0.6739,0.5839
30,27.3393,4.0787,13,0.6647000000000001,0.5687
31,22.0665,4.334,10,0.6532,0.5498000000000001
32,11.7483,5.8931000000000004,4,0.5797,0.4334
33,15.3683,4.9172,6,0.6263000000000001,0.5062
34,20.1029,4.5265,9,0.6444000000000001,0.5355
35,32.0716,4.0003,16,0.6682,0.5744
36,23.5635,4.2956,11,0.655,0.5526
37,17.1521,4.6647,7,0.6381,0.5251
38,22.3008,4.272,10,0.656,0.5544
39,18.6018,4.5988,8,0.6411,0.5301
40,13.8417,5.0978,5,0.6179,0.4927
41,29.9965,4.1059,15,0.6635,0.5667
42,10.28,6.3639,3,0.5566,0.3991
43,39.0461,3.8525,20,0.6747000000000001,0.5852
44,28.6,4.105,14,0.6635,0.5667
45,17.2645,4.6177,7,0.6403,0.5286000000000001
46,18.6069,4.5969,8,0.6412,0.5302
47,20.6516,4.3544,9,0.6523,0.5483
48,23.2964,4.3637,11,0.6519,0.5476
49,23.4603,4.3215,11,0.6538,0.5507000000000001
50,28.6673,4.093,14,0.6641,0.5676
51,13.6121,5.2575,5,0.6103000000000001,0.4807
52,22.0018,4.3517,10,0.6524,0.5485
53,35.0098,3.9899,18,0.6686000000000001,0.5752
54,27.3777,4.0716,13,0.665,0.5692
55,26.7575,4.1918,13,0.6596000000000001,0.5603
56,28.5103,4.1213,14,0.6628000000000001,0.5655
57,22.3505,4.2592,10,0.6566000000000001,0.5553
58,25.3923,4.189,12,0.6598,0.5605
59,32.1115,3.9943,16,0.6684,0.5749000000000001
60,23.1579,4.4005,11,0.6502,0.5448000000000001
61,26.7796,4.1873,13,0.6598,0.5607
62,34.0814,3.9205,17,0.6717000000000001,0.5803
63,18.8268,4.5164,8,0.6449,0.5362
64,8.793,7.1667,2,0.5167,0.343
65,14.7244,5.3125,6,0.6077,0.4766
66,27.3097,4.0842,13,0.6644,0.5683
67,23.8179,4.2341,11,0.6577000000000001,0.5572
68,32.2173,3.9787,16,0.6691,0.5760000000000001
69,13.1599,5.6224,5,0.5928,0.4535
70,15.4322,4.8828000000000005,6,0.628,0.5088
71,27.0559,4.1324,13,0.6623,0.5647
72,30.3709,4.0433,15,0.6663,0.5713
73,28.4359,4.135,14,0.6622,0.5645
74,18.6666,4.5745000000000005,8,0.6422,0.5319
75,28.6933,4.0884,14,0.6643,0.5680000000000001
76,23.2075,4.3872,11,0.6508,0.5458000000000001
77,26.6483,4.2143,13,0.6586000000000001,0.5587
78,15.3177,4.9449,6,0.625,0.5041
79,20.1017,4.5269,9,0.6444000000000001,0.5354
80,28.8016,4.0693,14,0.6651,0.5694
81,16.7976,4.8238,7,0.6307,0.5132
82,24.9201,4.2949,12,0.655,0.5527000000000001
83,40.7813,3.8256,21,0.6759000000000001,0.5872
84,25.1774,4.236,12,0.6576000000000001,0.557
85,33.3127,4.0278,17,0.667,0.5724
86,8.5361,7.8617,2,0.48190000000000005,0.29760000000000003
87,28.2519,4.1696,14,0.6606000000000001,0.562
88,28.7621,4.0762,14,0.6648000000000001,0.5688
89,8.4436,8.1584,2,0.4671,0.27940000000000004
90,25.5129,4.1634,12,0.6609,0.5624
91,25.5936,4.1465,12,0.6617000000000001,0.5637
92,16.7957,4.8247,7,0.6307,0.5131
93,25.521,4.1617,12,0.661,0.5625
94,37.5578,3.8536,19,0.6746,0.5851000000000001
95,23.948,4.2038,11,0.6591,0.5594
96,20.4219,4.4237,9,0.6491,0.5431
97,21.5592,4.4796,10,0.6466000000000001,0.5389
98,13.5249,5.3223,5,0.6072000000000001,0.4758
99,23.5258,4.305,11,0.6545000000000001,0.5519000000000001
100,29.9591,4.1123,15,0.6632,0.5662
101,26.6735,4.2091,13,0.6589,0.559
102,9.9016,7.0351,3,0.5232,0.3519
103,27.2064,4.1036,13,0.6636000000000001,0.5668000000000001
104,13.0949,5.6813,5,0.5899,0.4491
105,20.0224,4.5537,9,0.6432,0.5334
106,21.6103,4.4642,10,0.6473,0.5401
107,20.0034,4.5602,9,0.6429,0.5329
108,15.4017,4.8991,6,0.6272,0.5076
109,20.2295,4.4848,9,0.6464000000000001,0.5386000000000001
110,13.1976,5.589,5,0.5944,0.4559
111,38.7843,3.8818,20,0.6734,0.5831000000000001
112,13.3794,5.4361,5,0.6018,0.46730000000000005
113,33.5385,3.9952,17,0.6684,0.5748
114,18.3978,4.678,8,0.6375000000000001,0.5241
115,31.9887,4.0127,16,0.6676000000000001,0.5735
116,30.3516,4.0464,15,0.6661,0.5710000000000001
117,28.7486,4.0786,14,0.6647000000000001,0.5687
118,23.2988,4.3631,11,0.6519,0.5476
119,22.008,4.35,10,0.6525000000000001,0.5486
120,28.6932,4.0884,14,0.6643,0.5679000000000001
121,22.3143,4.2685,10,0.6562,0.5546
122,34.9975,3.9916,18,0.6686000000000001,0.5751000000000001
123,11.3636,6.3761,4,0.556,0.3982
124,16.6452,4.8979,7,0.6272,0.5077
125,38.8404,3.8754,20,0.6737000000000001,0.5836
126,18.2699,4.73,8,0.6351,0.5202
127,20.0995,4.5277,9,0.6444000000000001,0.5354
128,10.0835,6.6893,3,0.5404,0.3759
129,21.8473,4.3949,10,0.6504,0.5453
130,15.1607,5.0345,6,0.6208,0.4974
131,25.7182,4.121,12,0.6628000000000001,0.5655
132,19.7873,4.6365,9,0.6394000000000001,0.5272
133,33.4783,4.0038,17,0.668,0.5742
134,22.0014,4.3518,10,0.6524,0.5485
135,18.5685,4.6114,8,0.6405000000000001,0.5291
136,20.1184,4.5213,9,0.6447,0.5358
137,28.3921,4.1431000000000004,14,0.6618,0.5639000000000001
138,20.6336,4.3598,9,0.652,0.5479
139,15.5318,4.8306000000000004,6,0.6304000000000001,0.5127
140,30.4022,4.0382,15,0.6665,0.5716
141,16.4787,4.983,7,0.6233000000000001,0.5013000000000001
142,35.6322,3.9085,18,0.6722,0.5811000000000001
143,29.0374,4.0289,14,0.6669,0.5723
144,13.0579,5.7157,5,0.5883,0.4465
145,29.9171,4.1196,15,0.6629,0.5656
146,13.5815,5.28,5,0.6092000000000001,0.47900000000000004
147,33.516,3.9984,17,0.6683,0.5746
148,11.8246,5.8092,4,0.5837,0.43960000000000005
149,25.0758,4.2589,12,0.6566000000000001,0.5554
150,18.1321,4.7882,8,0.6324000000000001,0.5159
151,35.064,3.9826,18,0.669,0.5757
152,25.3711,4.1935,12,0.6596000000000001,0.5602
153,11.6204,6.0419,4,0.5724,0.42250000000000004
154,18.4751,4.6475,8,0.6389,0.5264
155,13.303,5.4989,5,0.5987,0.4627
156,31.6126,4.0711,16,0.665,0.5692
157,28.2298,4.1738,14,0.6604,0.5617
158,18.4756,4.6473,8,0.6389,0.5264
159,28.8614,4.0589,14,0.6656000000000001,0.5701
160,11.6637,5.9904,4,0.5749000000000001,0.4263
161,15.3859,4.9076,6,0.6268,0.5069
162,18.6518,4.58,8,0.642,0.5315
163,17.1864,4.6502,7,0.6388,0.5262
164,18.6475,4.5816,8,0.6419,0.5313
165,23.4836,4.3156,11,0.654,0.5511
166,33.4629,4.006,17,0.6679,0.5740000000000001
167,18.5422,4.6215,8,0.6401,0.5284
168,10.2465,6.4162,3,0.554,0.39540000000000003
169,20.4952,4.4012,9,0.6502,0.5448000000000001
170,15.1217,5.0575,6,0.6198,0.49570000000000003
171,16.5138,4.9647,7,0.6241,0.5026
172,9.8761,7.0874,3,0.5206000000000001,0.34840000000000004
173,10.4925,6.0576,3,0.5716,0.4213
174,35.4241,3.935,18,0.6711,0.5792
175,28.9435,4.0448,14,0.6662,0.5712
176,27.2042,4.104,13,0.6636000000000001,0.5668000000000001
177,13.5281,5.3199,5,0.6073000000000001,0.47600000000000003
178,13.0281,5.7439,5,0.5869,0.4444
179,28.7581,4.0769,14,0.6648000000000001,0.5688
180,18.8645,4.503,8,0.6455000000000001,0.5372
181,20.5333,4.3897,9,0.6507000000000001,0.5456
182,22.0954,4.3262,10,0.6536000000000001,0.5504
183,43.7255,3.8286000000000002,23,0.6757000000000001,0.587
184,24.8576,4.3096,12,0.6543,0.5516
185,12.1318,5.5038,4,0.5985,0.46230000000000004
186,15.2331,4.9926,6,0.6228,0.5006
187,28.6448,4.097,14,0.6639,0.5673
188,8.6419,7.5548,2,0.4973,0.31720000000000004
189,10.4509,6.1142,3,0.5689000000000001,0.4172
190,29.0015,4.0349,14,0.6666000000000001,0.5719000000000001
191,35.1097,3.9764,18,0.6692,0.5762
192,13.4816,5.3554,5,0.6056,0.47340000000000004
193,32.34,3.9609,16,0.6699,0.5773
194,13.5911,5.273,5,0.6095,0.47950000000000004
195,8.7283,7.3262,2,0.5087,0.33230000000000004
196,33.8854,3.9469,17,0.6705,0.5783
197,21.9605,4.3631,10,0.6519,0.5476
198,37.2426,3.8904,19,0.673,0.5825
199,23.2505,4.3758,11,0.6513,0.5467000000000001
200,18.3485,4.6978,8,0.6366,0.5226000000000001
201,18.7159,4.5564,8,0.6431,0.5332
202,18.086,4.8081,8,0.6314000000000001,0.5144000000000001
203,20.5745,4.3773,9,0.6513,0.5466
204,27.3726,4.0726,13,0.665,0.5691
205,35.5725,3.916,18,0.6719,0.5806
206,23.4612,4.3213,11,0.6538,0.5507000000000001
207,32.4118,3.9506,16,0.6704,0.5781000000000001
208,25.1952,4.2321,12,0.6578,0.5573
209,13.4634,5.3695,5,0.6049,0.4723
210,16.8944,4.7787,7,0.6328,0.5166000000000001
211,13.8844,5.0698,5,0.6192000000000001,0.4948
212,23.3715,4.3442,11,0.6528,0.549
213,32.0797,3.9991,16,0.6682,0.5745
214,13.151,5.6304,5,0.5924,0.4529
215,9.6572,7.5851,3,0.49570000000000003,0.3153
216,15.0692,5.089,6,0.6183000000000001,0.4933
217,9.7434,7.3784,3,0.5061,0.32880000000000004
218,33.5728,3.9903,17,0.6686000000000001,0.5752
219,28.2746,4.1652,14,0.6608,0.5623
220,14.7613,5.2872,6,0.6089,0.47850000000000004
221,10.4348,6.1366,3,0.5678000000000001,0.4156
222,31.8699,4.0308,16,0.6668000000000001,0.5722
223,21.9861,4.356,10,0.6522,0.5481
224,22.112,4.3217,10,0.6538,0.5507000000000001
225,20.6278,4.3615,9,0.652,0.5477000000000001
226,30.2088,4.0699,15,0.6651,0.5693
227,36.9054,3.9313000000000002,19,0.6712,0.5795
228,22.0045,4.3509,10,0.6524,0.5485
229,25.2086,4.2291,12,0.658,0.5576
230,25.7131,4.122,12,0.6628000000000001,0.5655
231,32.4226,3.9491,16,0.6704,0.5782
232,21.9253,4.3729000000000005,10,0.6515000000000001,0.5469
233,15.5427,4.825,6,0.6306,0.5131
234,25.0708,4.2601,12,0.6566000000000001,0.5553
235,33.3999,4.0151,17,0.6675,0.5733
236,25.5397,4.1577,12,0.6612,0.5628000000000001
237,21.9338,4.3705,10,0.6516000000000001,0.5471
238,7.972,7.972,2,0.47640000000000005,0.2908
239,8.3883,8.35,2,0.4576,0.268
240,33.8143,3.9566,17,0.6701,0.5776
241,27.1482,4.1147,13,0.6631,0.5660000000000001
242,18.8331,4.5141,8,0.645,0.5364
243,7.113,7.113,1,0.5193,0.3466
244,10.4149,6.1645,3,0.5664,0.41350000000000003
245,28.4717,4.1284,14,0.6625,0.5650000000000001
246,13.3496,5.4604,5,0.6006,0.4655
247,16.7226,4.8598,7,0.629,0.5105000000000001
248,32.3339,3.9618,16,0.6699,0.5772
249,37.5509,3.8544,19,0.6746,0.5851000000000001
250,13.3492,5.4606,5,0.6006,0.4655
251,21.6666,4.4474,10,0.6481,0.5414
252,21.6141,4.463,10,0.6473,0.5402
253,31.7146,4.0549,16,0.6657000000000001,0.5704
254,32.2614,3.9723,16,0.6694,0.5765
255,25.2805,4.2132,12,0.6587000000000001,0.5587
256,14.7925,5.266,6,0.6099,0.4801
257,18.8974,4.4915,8,0.646,0.5381
258,16.4857,4.9793,7,0.6234000000000001,0.5016
259,33.8048,3.9579,17,0.6701,0.5775
260,13.1419,5.6386,5,0.592,0.45230000000000004
261,21.7574,4.4208,10,0.6493,0.5433
262,21.6046,4.4659,10,0.6472,0.54
263,11.804,5.8315,4,0.5827,0.438
264,14.976,5.1466,6,0.6155,0.489
265,30.5883,4.0085,15,0.6678000000000001,0.5738
266,26.8893,4.1652,13,0.6608,0.5623
267,26.7887,4.1855,13,0.6599,0.5608000000000001
268,20.1713,4.5038,9,0.6455000000000001,0.5371
269,19.9549,4.577,9,0.6421,0.5317000000000001
270,20.1129,4.5232,9,0.6446000000000001,0.5357000000000001
271,24.8353,4.3149,12,0.6541,0.5512
272,28.8917,4.0537,14,0.6658000000000001,0.5705
273,13.4189,5.4045,5,0.6033000000000001,0.4697
274,33.8805,3.9475000000000002,17,0.6705,0.5783
275,24.9418,4.2898,12,0.6552,0.5531
276,37.2208,3.8930000000000002,19,0.6729,0.5823
277,32.4797,3.941,16,0.6708000000000001,0.5788
278,21.5229,4.4907,10,0.6461,0.5381
279,8.3262,8.3262,2,0.45880000000000004,0.26940000000000003
280,23.5487,4.2993,11,0.6548,0.5524
281,19.7574,4.6474,9,0.6389,0.5264
282,17.0577,4.7054,7,0.6362,0.5221
283,33.9614,3.9366,17,0.671,0.5791000000000001
284,15.3948,4.9028,6,0.627,0.5073
285,28.5615,4.112,14,0.6632,0.5662
286,21.6791,4.4437,10,0.6482,0.5416000000000001
287,32.0331,4.006,16,0.6679,0.5740000000000001
288,22.0948,4.3263,10,0.6536000000000001,0.5504
289,18.8063,4.5237,8,0.6446000000000001,0.5357000000000001
290,13.4528,5.3778,5,0.6045,0.4717
291,15.0194,5.1196,6,0.6168,0.491
292,23.2032,4.3883,11,0.6507000000000001,0.5457000000000001
293,26.8244,4.1783,13,0.6602,0.5613
294,14.9574,5.1583,6,0.615,0.48810000000000003
295,17.0696,4.7002,7,0.6364000000000001,0.5225000000000001
296,9.8976,7.0431,3,0.5228,0.3514
297,26.6803,4.2077,13,0.6589,0.5591
298,23.2681,4.3711,11,0.6515000000000001,0.547
299,31.8248,4.0378,16,0.6665,0.5717
300,21.5665,4.4774,10,0.6467,0.5391
301,17.048,4.7097,7,0.636,0.5218
302,26.8091,4.1814,13,0.6601,0.5611
303,13.7763,5.1418,5,0.6158,0.4894
304,18.4698,4.6495,8,0.6388,0.5263
305,23.4184,4.3321,11,0.6533,0.5499
306,15.4978,4.8482,6,0.6296,0.5114000000000001
307,16.6922,4.8746,7,0.6283000000000001,0.5094000000000001
308,20.3251,4.4541,9,0.6478,0.5409
309,32.048,4.0038,16,0.668,0.5742
310,30.04,4.0984,15,0.6638000000000001,0.5672
311,18.2496,4.7384,8,0.6347,0.5196000000000001
312,34.9834,3.9935,18,0.6685,0.5749000000000001
313,6.3207,6.3207,1,0.5587,0.4022
