,current_day,square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,distance_normalized_price,rider_acceptance_prob,driver_acceptance_prob
0,0,11,811,37,209,11,5.4207,220,23.4456,4.3252,0.6536000000000001,0.5504
1,0,0,828,69,236,17,8.4457,253,33.6312,3.982,0.669,0.5758
2,0,11,953,37,256,9,4.6362,265,20.458,4.4126,0.6496000000000001,0.5439
3,0,15,192,29,280,18,8.8893,298,35.2185,3.9619,0.6699,0.5772
4,0,14,926,54,316,9,4.5735,325,20.3438,4.4482,0.648,0.5413
5,0,15,956,29,310,15,7.2686,325,29.9289,4.1175,0.663,0.5658000000000001
6,0,1,762,90,338,15,7.4378,353,30.2369,4.0653,0.6653,0.5696
7,0,15,40,29,368,15,7.4463,383,30.2522,4.0627,0.6654,0.5698
8,0,0,144,69,400,15,7.4981,415,30.3466,4.0472,0.6661,0.5710000000000001
9,0,14,122,54,407,16,8.0841,423,32.1931,3.9823,0.669,0.5757
10,0,15,18,29,419,0,0.07740000000000001,419,5.1409,5.1409,0.6158,0.4894
11,0,1,2,90,425,11,5.674,436,23.9068,4.2134,0.6587000000000001,0.5587
12,0,6,88,63,433,6,3.1337,439,15.3834,4.909,0.6267,0.5068
13,0,11,177,37,441,3,1.4537,444,9.9857,6.8693,0.5315,0.3634
14,0,0,248,69,465,11,5.3716,476,23.3564,4.3481,0.6526000000000001,0.5487000000000001
15,0,1,105,90,478,6,2.7845,484,14.7478,5.2964,0.6084,0.4778
16,0,5,102,88,460,4,2.0615,464,11.872,5.7588,0.5862,0.4433
17,0,6,18,63,474,6,3.158,480,15.4275,4.8853,0.6278,0.5086
18,0,8,55,4,458,15,7.2989,473,29.984,4.108,0.6634,0.5665
19,0,11,81,37,462,11,5.3397,473,23.2982,4.3632,0.6519,0.5476
20,0,13,144,82,473,15,7.6416,488,30.6077,4.0054,0.6679,0.5740000000000001
21,0,15,40,29,454,16,7.8463,470,31.7603,4.0478,0.6661,0.5709000000000001
22,0,0,8,69,509,18,8.8254,527,35.1021,3.9774000000000003,0.6692,0.5761000000000001
23,0,1,150,90,506,7,3.3807,513,16.6129,4.914,0.6265000000000001,0.5064000000000001
24,0,5,187,88,482,5,2.2802000000000002,487,13.05,5.7232,0.5879,0.446
25,0,8,44,4,501,6,3.0169,507,15.1707,5.0286,0.6211,0.4979
26,0,13,760,82,480,13,6.6111,493,27.1722,4.1101,0.6633,0.5663
27,0,15,52,29,495,20,9.9058,515,38.6286,3.8996,0.6726000000000001,0.5818
28,0,0,7,69,532,14,6.938,546,28.5472,4.1146,0.6631,0.5660000000000001
29,0,1,100,90,514,10,4.9679,524,21.8415,4.3966,0.6504,0.5451
