square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,rider_acceptance_prob,driver_acceptance_prob
7,954,51,219,8,4.23,227,18.94,0.52,0.54
5,875,40,290,10,4.78,300,21.5,0.51,0.54
15,898,26,309,15,7.52,324,30.39,0.49,0.52
5,207,40,406,13,6.39,419,26.77,0.5,0.53
15,888,26,416,19,9.41,435,36.95,0.47000000000000003,0.52
10,151,87,466,8,4.03,474,18.58,0.52,0.54
10,177,87,483,4,1.81,487,11.41,0.53,0.55
11,240,53,497,5,2.32,502,13.11,0.53,0.55
13,172,29,488,7,3.31,495,16.49,0.52,0.54
14,168,99,481,14,6.98,495,28.62,0.49,0.53
15,214,26,492,16,7.98,508,32.0,0.48,0.52
10,112,87,537,3,1.46,540,10.0,0.54,0.55
11,80,53,524,11,5.66,535,23.87,0.5,0.53
9,160,90,546,7,3.61,553,17.03,0.52,0.54
6,67,85,599,5,2.58,604,13.59,0.53,0.55
11,79,53,584,9,4.41,593,20.05,0.51,0.54
2,205,44,615,10,4.83,625,21.59,0.51,0.54
4,940,91,632,9,4.65,641,20.48,0.51,0.54
10,787,87,848,10,4.95,858,21.81,0.51,0.54
10,478,87,909,2,1.09,911,8.54,0.54,0.55
1,435,50,954,15,7.51,969,30.36,0.49,0.52
4,805,91,985,3,1.37,988,9.83,0.54,0.55
10,436,87,987,8,4.04,995,18.6,0.52,0.54
1,277,50,1002,18,8.96,1020,35.35,0.47000000000000003,0.52
4,377,91,1006,11,5.38,1017,23.37,0.5,0.53
1,448,50,1044,5,2.41,1049,13.29,0.53,0.55
7,254,2,1049,11,5.36,1060,23.33,0.5,0.53
13,398,69,1025,7,3.5,1032,16.84,0.52,0.54
7,295,2,1050,16,7.83,1066,31.74,0.48,0.52
1,385,50,1109,14,6.77,1123,28.24,0.49,0.53
4,416,91,1084,13,6.65,1097,27.24,0.49,0.53
1,385,50,1124,9,4.57,1133,20.34,0.51,0.54
1,256,50,1181,20,9.92,1201,38.66,0.47000000000000003,0.51
4,475,91,1178,18,8.88,1196,35.19,0.47000000000000003,0.52
1,510,50,1218,11,5.62,1229,23.81,0.5,0.53
1,642,50,1297,6,2.82,1303,14.81,0.53,0.54
15,682,26,1290,11,5.56,1301,23.7,0.5,0.53
15,521,26,1323,3,1.51,1326,10.09,0.54,0.55
1,579,50,1375,12,6.15,1387,25.55,0.5,0.53
15,731,26,1384,4,1.98,1388,11.73,0.53,0.55
14,775,29,330,3,1.57,333,10.2,0.54,0.55
14,775,29,330,3,1.57,333,10.2,0.54,0.55
12,58,53,361,11,5.67,372,23.89,0.5,0.53
12,58,53,361,11,5.67,372,23.89,0.5,0.53
3,83,87,402,19,9.3,421,36.75,0.47000000000000003,0.52
3,83,87,402,19,9.3,421,36.75,0.47000000000000003,0.52
7,218,99,426,13,6.69,439,27.32,0.49,0.53
7,218,99,426,13,6.69,439,27.32,0.49,0.53
9,194,63,423,7,3.4,430,16.65,0.52,0.54
9,194,63,423,7,3.4,430,16.65,0.52,0.54
12,22,53,445,16,8.22,461,32.44,0.48,0.52
12,22,53,445,16,8.22,461,32.44,0.48,0.52
14,218,29,431,3,1.43,434,9.95,0.54,0.55
14,218,29,431,3,1.43,434,9.95,0.54,0.55
0,56,70,462,17,8.73,479,34.14,0.48,0.52
0,56,70,462,17,8.73,479,34.14,0.48,0.52
4,30,7,451,8,3.89,459,18.32,0.52,0.54
4,30,7,451,8,3.89,459,18.32,0.52,0.54
5,90,30,451,4,1.9000000000000001,455,11.58,0.53,0.55
5,90,30,451,4,1.9000000000000001,455,11.58,0.53,0.55
7,63,99,463,8,4.04,471,18.59,0.52,0.54
7,63,99,463,8,4.04,471,18.59,0.52,0.54
0,180,70,488,10,5.1,498,22.08,0.51,0.53
0,180,70,488,10,5.1,498,22.08,0.51,0.53
6,133,9,500,8,4.08,508,18.66,0.52,0.54
6,133,9,500,8,4.08,508,18.66,0.52,0.54
10,24,89,494,5,2.44,499,13.33,0.53,0.55
10,24,89,494,5,2.44,499,13.33,0.53,0.55
12,242,53,480,14,7.19,494,29.0,0.49,0.53
12,242,53,480,14,7.19,494,29.0,0.49,0.53
15,39,56,499,2,0.97,501,8.33,0.54,0.55
15,39,56,499,2,0.97,501,8.33,0.54,0.55
0,30,70,514,10,5.19,524,22.24,0.51,0.53
0,30,70,514,10,5.19,524,22.24,0.51,0.53
5,58,30,536,13,6.74,549,27.41,0.49,0.53
5,58,30,536,13,6.74,549,27.41,0.49,0.53
10,214,89,521,17,8.33,538,33.42,0.48,0.52
10,214,89,521,17,8.33,538,33.42,0.48,0.52
12,126,53,525,16,8.14,541,32.29,0.48,0.52
12,126,53,525,16,8.14,541,32.29,0.48,0.52
14,82,29,519,2,1.22,521,8.79,0.54,0.55
14,82,29,519,2,1.22,521,8.79,0.54,0.55
6,817,9,592,9,4.74,601,20.64,0.51,0.54
6,817,9,592,9,4.74,601,20.64,0.51,0.54
14,912,29,603,9,4.56,612,20.32,0.51,0.54
14,912,29,603,9,4.56,612,20.32,0.51,0.54
14,804,29,657,21,10.48,678,40.46,0.46,0.51
